"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250318,2025-03-18,001602,CBT ,00,001 ,  446942,  116964,  193443,  128285,  168339,   93097,  413588,  414825,   33354,   32117,  220071,  118221,  148231,   19766,   62830,   37006,  200817,  205003,   19254,   15068,  226871,   60750,  107219,   46512,  105509,   56091,  212771,  209822,   14100,   17049,    9632,   -3971,   -5565,    9309,    4862,    6546,   10200,   10290,    -568,    -658,  100.0,   26.2,   43.3,   28.7,   37.7,   20.8,   92.5,   92.8,    7.5,    7.2,  100.0,   53.7,   67.4,    9.0,   28.5,   16.8,   91.3,   93.2,    8.7,    6.8,  100.0,   26.8,   47.3,   20.5,   46.5,   24.7,   93.8,   92.5,    6.2,    7.5,    375,    115,    117,    108,     95,     92,    276,    263,    343,    113,    106,     35,     72,     56,    205,    178,    271,     74,     83,     65,     69,     76,    183,    187,    10.8,    13.2,    18.5,    22.4,     9.3,    11.2,    15.6,    18.7,    14.7,    19.6,    25.0,    32.5,    13.1,    19.5,    23.3,    32.0,    17.1,    17.2,    30.9,    28.6,    16.4,    14.9,    29.5,    24.4,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250311,2025-03-11,001602,CBT ,00,001 ,  437310,  120935,  199008,  118976,  163477,   86551,  403388,  404535,   33922,   32775,  229815,  131881,  156328,   16976,   60595,   39138,  209452,  212442,   20363,   17373,  207495,   56700,  110326,   34354,  102882,   47413,  193936,  192093,   13559,   15402,    9611,    4568,   -2201,    7786,   -1605,    2527,   10749,    8112,   -1138,    1499,  100.0,   27.7,   45.5,   27.2,   37.4,   19.8,   92.2,   92.5,    7.8,    7.5,  100.0,   57.4,   68.0,    7.4,   26.4,   17.0,   91.1,   92.4,    8.9,    7.6,  100.0,   27.3,   53.2,   16.6,   49.6,   22.9,   93.5,   92.6,    6.5,    7.4,    377,    118,    113,    108,    103,     91,    280,    265,    347,    116,    104,     34,     80,     53,    212,    175,    267,     72,     84,     61,     69,     75,    177,    187,    10.3,    13.8,    17.8,    23.4,     9.7,    11.7,    16.3,    19.1,    13.5,    21.3,    23.3,    34.3,    11.5,    21.2,    21.1,    33.6,    17.8,    17.0,    31.3,    27.8,    17.2,    16.1,    30.3,    25.7,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250304,2025-03-04,001602,CBT ,00,001 ,  427699,  116367,  201209,  111190,  165082,   84024,  392639,  396423,   35060,   31276,  237446,  125997,  160377,   21267,   68138,   38287,  215402,  219931,   22044,   17515,  190253,   51121,  101583,   29172,   96944,   45737,  177237,  176492,   13016,   13761,   25893,    6710,   29501,    8496,    6878,  -10700,   22084,   27297,    3809,   -1404,  100.0,   27.2,   47.0,   26.0,   38.6,   19.6,   91.8,   92.7,    8.2,    7.3,  100.0,   53.1,   67.5,    9.0,   28.7,   16.1,   90.7,   92.6,    9.3,    7.4,  100.0,   26.9,   53.4,   15.3,   51.0,   24.0,   93.2,   92.8,    6.8,    7.2,    370,    119,    112,    109,    100,     89,    281,    256,    342,    115,    102,     37,     76,     55,    210,    175,    265,     78,     76,     59,     67,     74,    176,    181,    11.4,    13.5,    18.5,    23.5,    10.3,    11.9,    16.8,    20.0,    12.8,    18.7,    22.2,    31.8,    10.7,    18.6,    19.2,    31.5,    18.1,    17.9,    30.5,    28.2,    17.6,    17.1,    29.3,    26.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250225,2025-02-25,001602,CBT ,00,001 ,  401806,  109657,  171708,  102694,  158204,   94724,  370555,  369126,   31251,   32680,  226236,  114492,  137931,   25324,   65653,   44066,  205469,  207321,   20767,   18915,  175570,   48260,   86872,   24275,   92551,   50658,  165086,  161805,   10484,   13765,  -35611,  -17783,    7496,  -17066,    1974,  -24421,  -32875,  -33991,   -2736,   -1620,  100.0,   27.3,   42.7,   25.6,   39.4,   23.6,   92.2,   91.9,    7.8,    8.1,  100.0,   50.6,   61.0,   11.2,   29.0,   19.5,   90.8,   91.6,    9.2,    8.4,  100.0,   27.5,   49.5,   13.8,   52.7,   28.9,   94.0,   92.2,    6.0,    7.8,    364,    113,    109,    121,    100,     92,    284,    264,    339,    112,    101,     52,     85,     64,    222,    195,    253,     72,     78,     65,     61,     77,    172,    182,    11.4,    13.5,    19.6,    23.9,    10.2,    12.4,    16.8,    19.9,    12.9,    16.5,    22.8,    29.3,    11.3,    16.3,    20.6,    29.1,    19.2,    19.4,    33.3,    32.6,    18.5,    17.7,    32.1,    28.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250218,2025-02-18,001602,CBT ,00,001 ,  437417,  127440,  164212,  119760,  156230,  119145,  403430,  403117,   33987,   34300,  269764,  133019,  129595,   42417,   70027,   76077,  245463,  248089,   24301,   21675,  167653,   49370,   89566,   22394,   86203,   43068,  157967,  155028,    9686,   12625,  -11044,   -4708,  -23877,   -7846,    3521,   20717,   -9033,  -11006,   -2011,     -38,  100.0,   29.1,   37.5,   27.4,   35.7,   27.2,   92.2,   92.2,    7.8,    7.8,  100.0,   49.3,   48.0,   15.7,   26.0,   28.2,   91.0,   92.0,    9.0,    8.0,  100.0,   29.4,   53.4,   13.4,   51.4,   25.7,   94.2,   92.5,    5.8,    7.5,    380,    126,    103,    127,    100,    105,    300,    274,    357,    125,     97,     73,     87,     83,    247,    220,    249,     71,     70,     54,     62,     83,    165,    179,    10.4,    12.4,    17.7,    21.3,     8.4,    10.1,    14.5,    17.4,    10.5,    14.1,    18.7,    26.1,     8.9,    13.9,    16.3,    25.0,    18.8,    19.1,    33.4,    32.6,    18.1,    16.9,    32.1,    30.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250211,2025-02-11,001602,CBT ,00,001 ,  448461,  132148,  188089,  127606,  152709,   98428,  412463,  414123,   35998,   34338,  287930,  138452,  149304,   54103,   68260,   61886,  260815,  265293,   27115,   22637,  160531,   46539,   91628,   20660,   84449,   36542,  151648,  148830,    8883,   11701,  -26719,    1272,  -10142,  -21678,   -6451,    2949,  -26857,  -28871,     138,    2152,  100.0,   29.5,   41.9,   28.5,   34.1,   21.9,   92.0,   92.3,    8.0,    7.7,  100.0,   48.1,   51.9,   18.8,   23.7,   21.5,   90.6,   92.1,    9.4,    7.9,  100.0,   29.0,   57.1,   12.9,   52.6,   22.8,   94.5,   92.7,    5.5,    7.3,    375,    133,    101,    126,     98,    100,    300,    268,    359,    129,    101,     78,     82,     84,    249,    226,    234,     67,     68,     49,     60,     73,    159,    162,     9.0,    13.3,    16.2,    21.5,     8.5,    10.5,    14.8,    17.9,    11.2,    12.9,    20.0,    24.3,     9.9,    12.2,    18.0,    22.6,    20.4,    19.1,    35.2,    33.1,    20.4,    19.1,    35.0,    33.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250204,2025-02-04,001602,CBT ,00,001 ,  475180,  130876,  198231,  149284,  159160,   95479,  439320,  442994,   35860,   32186,  321172,  158195,  175130,   58386,   77086,   65943,  293667,  299459,   27505,   21713,  154008,   41286,   91706,   22293,   82074,   29536,  145653,  143535,    8355,   10473,  -19220,   -2996,  -26752,    2076,  -16594,    6014,  -17514,  -18662,   -1706,    -558,  100.0,   27.5,   41.7,   31.4,   33.5,   20.1,   92.5,   93.2,    7.5,    6.8,  100.0,   49.3,   54.5,   18.2,   24.0,   20.5,   91.4,   93.2,    8.6,    6.8,  100.0,   26.8,   59.5,   14.5,   53.3,   19.2,   94.6,   93.2,    5.4,    6.8,    384,    138,    101,    125,    104,    101,    306,    273,    372,    144,     94,     78,     96,     83,    274,    222,    227,     58,     70,     45,     54,     74,    140,    165,    11.0,    13.4,    18.6,    23.3,     8.6,    10.1,    14.3,    18.1,    12.8,    16.0,    21.0,    28.3,    12.5,    13.5,    19.8,    25.1,    20.8,    21.9,    35.6,    36.0,    20.8,    21.9,    35.5,    35.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250128,2025-01-28,001602,CBT ,00,001 ,  494400,  133872,  224983,  147208,  175754,   89465,  456834,  461656,   37566,   32744,  348815,  162689,  196530,   62977,   94330,   66182,  319996,  325689,   28819,   23126,  145585,   36016,   93286,   19398,   81424,   23283,  136838,  135967,    8747,    9618,   22131,   -5039,   13063,    8716,   16136,   -1288,   19813,   20491,    2318,    1640,  100.0,   27.1,   45.5,   29.8,   35.5,   18.1,   92.4,   93.4,    7.6,    6.6,  100.0,   46.6,   56.3,   18.1,   27.0,   19.0,   91.7,   93.4,    8.3,    6.6,  100.0,   24.7,   64.1,   13.3,   55.9,   16.0,   94.0,   93.4,    6.0,    6.6,    383,    129,    105,    117,    110,     97,    302,    265,    372,    133,    101,     77,    102,     77,    273,    218,    219,     49,     72,     45,     56,     73,    138,    160,    12.0,    13.3,    19.6,    24.1,     9.9,    10.7,    15.9,    18.8,    14.7,    16.5,    23.2,    28.5,    14.6,    13.6,    21.8,    24.9,    20.6,    24.0,    36.0,    38.1,    20.6,    24.0,    35.9,    38.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250121,2025-01-21,001602,CBT ,00,001 ,  472269,  138911,  211920,  138492,  159618,   90753,  437021,  441165,   35248,   31104,  337315,  160610,  179542,   66428,   82518,   69958,  309556,  315928,   27759,   21387,  134954,   32537,   86614,   17828,   77100,   20795,  127465,  125237,    7489,    9717,   -3292,     139,   -9061,    -169,   -4564,    6056,   -4594,   -3174,    1302,    -118,  100.0,   29.4,   44.9,   29.3,   33.8,   19.2,   92.5,   93.4,    7.5,    6.6,  100.0,   47.6,   53.2,   19.7,   24.5,   20.7,   91.8,   93.7,    8.2,    6.3,  100.0,   24.1,   64.2,   13.2,   57.1,   15.4,   94.5,   92.8,    5.5,    7.2,    374,    129,    100,    118,    108,     98,    299,    262,    359,    133,     91,     83,     96,     78,    266,    216,    213,     52,     64,     45,     56,     67,    137,    151,    10.8,    14.2,    19.1,    24.3,    10.0,    11.0,    16.4,    18.7,    13.8,    17.1,    23.4,    29.9,    12.8,    13.7,    19.8,    24.9,    21.4,    22.8,    36.8,    36.5,    21.4,    22.8,    36.4,    35.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250114,2025-01-14,001602,CBT ,00,001 ,  475561,  138772,  220981,  138661,  164182,   84697,  441615,  444339,   33946,   31222,  343556,  162154,  190615,   66445,   88636,   64384,  317235,  321444,   26321,   22112,  132005,   32965,   86713,   15869,   75546,   20313,  124380,  122895,    7625,    9110,    3626,     375,    3110,    5478,   -2337,   -3687,    3516,    4901,     110,   -1275,  100.0,   29.2,   46.5,   29.2,   34.5,   17.8,   92.9,   93.4,    7.1,    6.6,  100.0,   47.2,   55.5,   19.3,   25.8,   18.7,   92.3,   93.6,    7.7,    6.4,  100.0,   25.0,   65.7,   12.0,   57.2,   15.4,   94.2,   93.1,    5.8,    6.9,    386,    128,    110,    116,    108,     96,    301,    265,    373,    135,    101,     80,     97,     77,    267,    224,    217,     47,     71,     42,     57,     67,    134,    155,    11.7,    14.2,    20.2,    25.1,    10.8,    11.4,    17.4,    19.2,    14.9,    17.6,    24.4,    30.6,    14.3,    14.8,    21.9,    25.9,    21.3,    24.5,    37.1,    37.1,    21.3,    24.5,    36.1,    35.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
